Data,Signal
2014-09-14,-0.10766269585736993
2014-09-21,-0.1331498534723726
2014-09-28,0.0769759883466119
2014-10-05,0.2598351176836527
2014-10-12,-0.2334667469154924
2014-10-19,-0.41410061925103
2014-10-26,-0.21317941177733293
2014-11-02,-0.4467875333136001
2014-11-09,-0.2812492975867187
2014-11-16,-0.235152580393329
2014-11-23,-0.30266875920438246
2014-11-30,-0.36501442779906695
2014-12-07,-0.3778507481263324
2014-12-14,-0.14365332153922483
2014-12-21,-0.2857898721446903
2014-12-28,-0.21403413267821303
2015-01-04,-0.6515320815026158
2015-01-11,-0.2966873315377225
2015-01-18,-0.30486801665973934
2015-01-25,-0.46309507419042906
2015-02-01,-0.3246572671235022
2015-02-08,-0.4839343564425584
2015-02-15,-0.5000927787788083
2015-02-22,-0.4460620867124219
2015-03-01,-0.23364530447958162
2015-03-08,-0.18556455162672097
2015-03-15,-0.19369761099156269
2015-03-22,-0.04042715756025672
2015-03-29,-0.4045063158596231
2015-04-05,-0.33432113401741625
2015-04-12,-0.46138395196143633
2015-04-19,-0.00807088613491324
2015-04-26,0.2519918985090087
2015-05-03,-0.06226981210810283
2015-05-10,-0.05285390571409299
2015-05-17,-0.3837104115183431
2015-05-24,-0.2894809167192469
2015-05-31,-0.34284179648865004
2015-06-07,-0.3987944509622196
2015-06-14,-0.3830718237032037
2015-06-21,-0.3689266602145493
2015-06-28,-0.44064446186891404
2015-07-05,-0.4912836288473187
2015-07-12,-0.42535273268282087
2015-07-19,-0.3011607282499645
2015-07-26,-0.3252197232938358
2015-08-02,-0.3003767222443497
2015-08-09,-0.463994362395378
2015-08-16,-0.38655577405583547
2015-08-23,-0.320944485219134
2015-08-30,-0.3905801119805769
2015-09-06,-0.380478755778904
2015-09-13,-0.5410284469830077
2015-09-20,-0.3508882948516869
2015-09-27,-0.41129686042230235
2015-10-04,-0.4532081248010996
2015-10-11,-0.48744348130523923
2015-10-18,-0.37210034851359247
2015-10-25,-0.4873250316584208
2015-11-01,-0.17474916977615776
2015-11-08,-0.4460846521118667
2015-11-15,-0.5054239910175882
2015-11-22,-0.35211970184624164
2015-11-29,-0.3040429351877192
2015-12-06,-0.3171170017449539
2015-12-13,-0.31353575882109624
2015-12-20,-0.4801035259124342
2015-12-27,-0.3105179047505475
2016-01-03,-0.4775817243796841
2016-01-10,-0.37653255789108
2016-01-17,-0.23592338126156687
2016-01-24,-0.2875528273688972
2016-01-31,-0.44174458093196
2016-02-07,-0.3879114328306939
2016-02-14,-0.5128205516644163
2016-02-21,-0.27729442192698717
2016-02-28,-0.3369040087744729
2016-03-06,-0.3714741759692708
2016-03-13,-0.3968774467852706
2016-03-20,-0.3316974817190449
2016-03-27,-0.32887119110420227
2016-04-03,-0.39098002681177113
2016-04-10,-0.5330028175260926
2016-04-17,-0.29483853990692205
2016-04-24,-0.4631353122519552
2016-05-01,-0.20738739273830117
2016-05-08,-0.4038303974607797
2016-05-15,-0.14759969711471924
2016-05-22,-0.4176765511401098
2016-05-29,-0.27361031848096606
2016-06-05,-0.4091697661139224
2016-06-12,-0.28841696296780395
2016-06-19,-0.3418079019494234
2016-06-26,-0.43784500346960864
2016-07-03,-0.4340752924581448
2016-07-10,-0.45276250871628454
2016-07-17,-0.3285644229501059
2016-07-24,-0.25280410501745265
2016-07-31,-0.4142569072391691
2016-08-07,-0.36162501962450966
2016-08-14,-0.44267125613473013
2016-08-21,-0.5484957036412824
2016-08-28,-0.391263046660046
2016-09-04,-0.33325020471426436
2016-09-11,-0.44132548819242917
2016-09-18,-0.5476059596118236
2016-09-25,-0.3446900331716308
2016-10-02,-0.3398365335928557
2016-10-09,-0.3135730282396035
2016-10-16,-0.32954835574261576
2016-10-23,-0.4153144410303945
2016-10-30,-0.2515956554224373
2016-11-06,-0.3899279345652272
2016-11-13,-0.43589699876777044
2016-11-20,-0.44793532037362704
2016-11-27,-0.43398183911856314
2016-12-04,-0.45292042075996153
2016-12-11,-0.40393076444190484
2016-12-18,-0.29554973433042664
2016-12-25,-0.485131547587445
2017-01-01,-0.5242998503816506
2017-01-08,-0.3377144186100351
2017-01-15,-0.4051333768350479
2017-01-22,-0.4135834796089906
2017-01-29,-0.5086830500777952
2017-02-05,-0.16323762409213924
2017-02-12,-0.3816273623814577
2017-02-19,-0.3085933801647542
2017-02-26,-0.4600843265605864
2017-03-05,-0.24591894537621636
2017-03-12,-0.2631826841732536
2017-03-19,-0.3977918256446179
2017-03-26,-0.43007476690153207
2017-04-02,-0.4067580782174602
2017-04-09,-0.30315209210893035
2017-04-16,-0.1633159816229681
2017-04-23,-0.3379366156224032
2017-04-30,-0.4286773162632325
2017-05-07,-0.21638015523083665
