Data,Notícia
2024-08-31,"A 3R Petroleum vai trocar de nome — e também de ticker; veja quando ela 
deixará de negociar como RRRP3"
2024-08-31,Lista: confira as melhores e piores ações de agosto na bolsa de valores
2024-08-31,"Ibovespa fecha em queda com ajustes, mas tem melhor mês do ano"
2024-08-31,"Bolsa tem melhor mês em 2024 após quebras de recorde; dólar fica estável em 
R$ 5,66"
2024-08-30,"Ibovespa tem melhor mês desde novembro, mas dólar não segue o entusiasmo; 
entenda por quê"
2024-08-30,Fernando Haddad e Campos Neto foram destaques do 1° dia da Expert XP
2024-08-30,"Ibovespa fecha estável, mas acumula alta de 6,5% em agosto"
2024-08-30,"Ibovespa tem melhor desempenho de 2024 em agosto; o que esperar da bolsa 
até o fim do ano?"
2024-08-30,"Tempo real: Ibovespa (IBOV) destoa de Wall Street e fecha em leve queda, 
aos 136 mil pontos; dólar avança a R$ 5,63"
2024-08-30,"Ibovespa opera em forte baixa e volta aos 134 mil pontos; Petrobras (PETR4) 
e grandes bancos recuam"
2024-08-30,"Ibovespa tem melhor mês de 2024; veja as ações que mais subiram – Mercado – 
Estadão E-Investidor – As principais notícias do mercado financeiro"
2024-08-30,"Ibovespa fecha em queda com ajustes, mas tem melhor mês do ano"
2024-08-30,"Gestores projetam Ibovespa a 145 mil pontos ao fim de 2024; veja setores 
preferidos"
2024-08-30,"Ibovespa recua em meio à alta de juros longos e piora da percepção de risco 
fiscal"
2024-08-29,"Ibovespa termina sessão com queda ampla, após correção; Azul despenca mais 
de 20%"
2024-08-29,"Ibovespa opera em queda com Petrobras (PETR4) e grandes bancos; Vale 
(VALE3) sobe"
2024-08-29,"Ibovespa cede à realização de lucros, enquanto dólar sobe pelo 4º pregão"
2024-08-29,"10 ações para bater o Ibovespa (IBOV) em setembro, segundo Ágora 
Investimentos"
2024-08-29,"Ibovespa caiu 0,95% no último fechamento"
2024-08-29,"B3 divulga novas mudanças na 3º prévia do Ibovespa; veja quais – Tempo Real 
– Estadão E-Investidor – As principais notícias do mercado financeiro"
2024-08-29,"Ibovespa entra em setembro com reforço de três novas ações enquanto bolsa 
renova as máximas — mas um papel será “chutado” para fora do índice"
2024-08-29,Ibovespa cai na contramão do exterior com dados econômicos e juros no radar
2024-08-29,"Após novo recorde, Ibovespa recua em movimento de realização de lucros"
2024-08-29,"3ª prévia do Ibovespa confirma inclusão de Auren, Santos Brasil e Caixa 
Seguridade"
2024-08-28,"Ibovespa fecha com ganhos, acima dos 137 mil pontos pela primeira vez"
2024-08-28,"Ibovespa fecha aos 137 mil pontos pela primeira vez e bate novo recorde 
histórico"
2024-08-28,"Ibovespa opera em queda e volta aos 135 mil pontos; Vale (VALE3) e grandes 
bancos recuam"
2024-08-28,"Ibovespa bate recorde após Galípolo ser indicado como novo presidente do 
Banco Central"
2024-08-28,"Ibovespa abre em queda e dólar sobe, ampliando movimento da véspera"
2024-08-28,"Ibovespa renova máxima histórica após indicação de Galípolo ao BC; dólar 
sobe a R$ 5,55"
2024-08-28,Campos Neto está no radar dos investidores; o que esperar do Ibovespa (IBOV)
2024-08-28,"Ibovespa subiu 0,40% no último fechamento"
2024-08-28,Ibovespa bate recorde em dia de anúncio sobre BC; dólar sobe com exterior
2024-08-28,"Ibovespa hoje renova recorde histórico com indicação de Galípolo; Petrobras 
(PETR3;PETR4) e Itaú (ITUB4) sobem – Tempo Real – Estadão E-Investidor – As 
principais notícias do mercado financeiro"
2024-08-27,"Ibovespa fecha com leve baixa, apesar da forte alta de Vale e de novo 
recorde"
2024-08-27,"Ibovespa deixa escapar recorde no fim do pregão e fecha em queda; Vale sobe 
3%"
2024-08-27,"Ibovespa abre estável em 136.888 pontos; dólar sobe 0,05%"
2024-08-27,Ibovespa bate recorde histórico; entenda os motivos
2024-08-27,"Mesmo com alta de Vale (VALE3), Ibovespa fecha em queda com Wall Street; 
dólar sobe a R$ 5,50"
2024-08-27,"O Ibovespa bateu recorde, mas ainda precisa subir mais de 40% para alcançar 
uma marca que não atinge desde 2008 — e isso pode abrir uma oportunidade 
para a bolsa"
2024-08-27,Ibovespa sobe a 136.888 pontos
2024-08-27,"Com pressão dos juros futuros, Ibovespa fecha em queda de 0,08%; dólar tem 
alta e vai a R$ 5,50"
2024-08-27,"Ibovespa futuro indica novo recorde da Bolsa com prévia do IPCA e novo CEO 
da Vale (VALE3); veja – Tempo Real – Estadão E-Investidor – As principais 
notícias do mercado financeiro"
2024-08-27,Ibovespa fecha em queda após superar marca dos 137 mil pontos; dólar sobe
2024-08-26,"Ibovespa fecha com alta, puxado por commodities e com novo recorde; 
Petrobras dispara"
2024-08-26,"Ibovespa encosta nos 137 mil pontos e tem novo recorde, em dia de forte 
valorização da Petrobras; dólar sobe"
2024-08-26,Ibovespa inicia última semana do mês em alta; dólar passa a cair
2024-08-26,"Tempo real: Ibovespa (IBOV) renova recorde de fechamento com disparada das 
ações da Petrobras (PETR4); dólar sobe a R$ 5,49"
2024-08-26,Ibovespa sobe a 135.608 pontos
2024-08-26,"Ibovespa sobe 0,28% aos 135.984 pontos; dólar avança 0,42%"
2024-08-26,"Ibovespa avança com Vale e Petrobras em dia de alta para commodities; dólar 
sobe"
2024-08-26,Ibovespa descola de bolsas internacionais e opera em alta
2024-08-26,Ibovespa fecha em alta e renova máxima histórica; Petrobras (PETR4) dispara
2024-08-26,"Com alta expressiva da Petrobras, Ibovespa renova máxima histórica nesta 
segunda-feira"
2024-08-25,Agosto tem 71 ações do Ibovespa em alta: especialistas explicam movimento
2024-08-25,Dólar com viés de queda e Ibovespa em alta? Confira na análise técnica
2024-08-25,"Ibovespa flerta com os 137 mil pontos em novo recorde histórico: veja as 10 
ações mais recomendadas para investir agora, segundo o BTG Pactual"
2024-08-25,Analistas estão otimistas com Bolsa de Valores de SP aos 150 mil pontos
2024-08-25,Ibovespa inicia a semana em alta
2024-08-25,Bolsa bate recorde histórico e Faria Lima passa a se chamar Faria o L
2024-08-25,Protestos contra turistas na Europa podem se voltar contra quem reclama
2024-08-25,Estado de São Paulo tem incêndios em mais de 20 cidades
2024-08-25,"Proventos da semana: Itaúsa (ITSA4), Embraer (EMBR3) e mais; confira"
2024-08-25,"China se opõe a sanções dos EUA sobre empresas chinesas com supostos laços 
com guerra da Rússia na Ucrânia"
2024-08-24,"5 ações para aproveitar as máximas do Ibovespa (IBOV) na semana, segundo 
MyCap"
2024-08-24,"Ritmo de festa na bolsa: o Ibovespa pode subir ainda mais após atingir o 
novo recorde?"
2024-08-24,Analistas estão otimistas com Bolsa aos 150 mil pontos
2024-08-24,"Confira as atualizações do Ibovespa, Fed e estratégias de investimento"
2024-08-24,"Tchau, BRF (BRFS3): 5 ações para superar o desempenho do Ibovespa (IBOV) na 
semana, segundo Guide"
2024-08-24,"Ibovespa volta aos 136 mil pontos após fala de Powell sobre corte de juros 
nos EUA"
2024-08-24,Veja os riscos econômicos com possível alta dos juros
2024-08-24,"Dólar recua 1,99% e bolsa sobe com indicação de juro menor nos EUA"
2024-08-24,"Ações da Americanas (AMER3) desabam quase 30% e são destaque no Money 
Times; veja as principais manchetes dos jornais hoje (24)"
2024-08-24,"O calvário das Americanas (AMER3), as pedras no caminho de Campos Neto e o 
virtual fim das contas rendeiras: veja as mais lidas da semana"
2024-08-23,Ibovespa fecha em alta e dólar cai após fala de Powell sobre juro dos EUA
2024-08-23,"Ibovespa Futuro sobe com todas as atenções voltadas para Powell em Jackson 
Hole"
2024-08-23,"Ibovespa fecha em alta e completa três semanas de ganhos; Vale (VALE3) e 
Petrobras (PETR4) caem"
2024-08-23,Ibovespa sobe após Powell sinalizar corte de juros em setembro
