Data,ivolbr,RSI_14,Volume,Signal,trends
2014-09-08,24.979385375976562,34.43840780574343,4620200.0,0.23821877190215057,0.9482758620689655
2014-09-09,24.995744705200195,34.43840780574343,4620200.0,-0.39139387527450487,0.9482758620689655
2014-09-10,25.0283145904541,34.43840780574343,4620200.0,-0.3524717878199381,0.9482758620689655
2014-09-11,23.753917694091797,34.43840780574343,4620200.0,0.1171509985689311,0.9482758620689655
2014-09-12,26.18419647216797,34.43840780574343,4620200.0,-0.02266765296888725,0.9482758620689655
2014-09-13,26.18419647216797,34.43840780574343,4620200.0,0.20578128739528828,0.9482758620689655
2014-09-14,26.18419647216797,34.43840780574343,4620200.0,-0.33442052684429313,0.9482758620689655
2014-09-15,27.717899322509766,41.56270668460784,2902300.0,-0.2397473535759749,0.9482758620689655
2014-09-16,26.632780075073242,48.45182193669661,4876300.0,-0.3344878684177278,0.9482758620689655
2014-09-17,26.460031509399414,48.41492105363848,3525800.0,-0.39746315880003613,0.9482758620689655
2014-09-18,29.21900749206543,44.58087001698613,3848200.0,-0.2729391817108062,0.9482758620689655
2014-09-19,28.729835510253906,41.743524250385896,3464700.0,0.4475343118417083,0.9482758620689655
2014-09-20,28.729835510253906,41.743524250385896,3464700.0,-0.2617475029021283,0.9482758620689655
2014-09-21,28.729835510253906,41.743524250385896,3464700.0,0.19961873367553126,0.9482758620689655
2014-09-22,31.45053482055664,37.47962435342019,3814900.0,0.08815054270950778,0.9482758620689655
2014-09-23,30.607009887695312,36.33927131231151,3317200.0,0.34730505175483944,0.9482758620689655
2014-09-24,31.924734115600586,38.40135645977244,2848300.0,-0.060646130630286975,0.9482758620689655
2014-09-25,31.52897834777832,34.71300181112097,2845400.0,0.08146548001196374,0.9482758620689655
2014-09-26,28.62211036682129,43.2283950885737,2982200.0,0.0457670191808911,0.9482758620689655
2014-09-27,28.62211036682129,43.2283950885737,2982200.0,-0.1682681206223073,0.9482758620689655
2014-09-28,28.62211036682129,43.2283950885737,2982200.0,0.37338956134010143,0.9482758620689655
2014-09-29,32.2661018371582,33.49213890994041,5186400.0,0.04225459422812769,0.9482758620689655
2014-09-30,33.58354187011719,31.96659304320398,5222300.0,0.37049552239729244,0.9482758620689655
2014-10-01,31.40212059020996,28.510149819621883,4918800.0,0.013212760094439238,1.0
2014-10-02,30.322330474853516,32.632000261032786,3986300.0,0.38887785953807225,1.0
2014-10-03,31.197805404663086,38.52771132241563,3708600.0,0.34995136774484653,1.0
2014-10-04,31.197805404663086,38.52771132241563,3708600.0,0.7172096592386766,1.0
2014-10-05,31.197805404663086,38.52771132241563,3708600.0,0.06121632043565609,1.0
2014-10-06,33.67411804199219,50.33692421268231,6714000.0,0.2763292287046833,1.0
2014-10-07,34.54526901245117,51.58127749846793,4874100.0,-0.09348974652814282,1.0
2014-10-08,38.90120315551758,49.98796114335448,4807200.0,-0.528320402394315,1.0
2014-10-09,39.5771484375,50.895455196815085,4503200.0,-0.23209600769196742,1.0
2014-10-10,37.04913330078125,43.058271003297534,3635700.0,-0.38609049185547095,1.0
2014-10-11,37.04913330078125,43.058271003297534,3635700.0,-0.5590844640898576,1.0
2014-10-12,37.04913330078125,43.058271003297534,3635700.0,-0.19637237581880457,1.0
2014-10-13,38.006797790527344,53.48828543768288,4544400.0,-0.14134064456870218,1.0
2014-10-14,36.13117980957031,53.68860764557969,3904700.0,-0.3211207355055934,1.0
2014-10-15,38.103355407714844,46.671852422059374,5671200.0,-0.5143660435022407,1.0
2014-10-16,38.103355407714844,41.02920084947444,5427800.0,-0.4653623650635432,1.0
2014-10-17,39.758609771728516,46.4422907647819,4406300.0,-0.32522129212943274,1.0
2014-10-18,39.758609771728516,46.4422907647819,4406300.0,-0.7633171211610932,1.0
2014-10-19,39.758609771728516,46.4422907647819,4406300.0,-0.48499160828396454,1.0
2014-10-20,42.4377555847168,42.27764339239142,3868300.0,-0.38683407579148515,1.0
2014-10-21,44.43360137939453,37.50832160151628,6578000.0,-0.1916930555508171,1.0
2014-10-22,42.40119934082031,37.45724618811095,3755400.0,-0.1809427713307202,1.0
2014-10-23,38.95589065551758,33.48662289961932,6346100.0,-0.19596493046928717,1.0
2014-10-24,42.27151870727539,38.55916126034196,5852100.0,-0.30213023629452995,1.0
2014-10-25,42.27151870727539,38.55916126034196,5852100.0,-0.10252235258440659,1.0
2014-10-26,42.27151870727539,38.55916126034196,5852100.0,-0.1314937383670046,1.0
2014-10-27,23.86887550354004,35.1782508175181,7999300.0,0.030166937689041926,1.0
2014-10-28,24.297409057617188,42.12277474733395,5761300.0,-0.6034730145815911,1.0
2014-10-29,20.470470428466797,38.96870867236521,4915300.0,-0.4380234387601594,1.0
2014-10-30,20.470470428466797,43.54591612431665,4299700.0,-0.7307429486602905,1.0
2014-10-31,24.345739364624023,50.64014714922015,5348200.0,-0.2750417345558212,1.0
2014-11-01,24.345739364624023,50.64014714922015,5348200.0,-0.7054340243784158,1.103448275862069
2014-11-02,24.345739364624023,50.64014714922015,5348200.0,-0.5684491466920485,1.103448275862069
2014-11-03,20.971790313720703,48.67988587984389,3665200.0,-0.23054503214695926,1.103448275862069
2014-11-04,22.986082077026367,50.01506603465744,3529800.0,-0.07166155468405269,1.103448275862069
2014-11-05,25.002687454223633,47.90795579546872,2901600.0,-0.08920121725423713,1.103448275862069
2014-11-06,25.42291259765625,44.76660442318672,3692500.0,-0.5233640646786767,1.103448275862069
2014-11-07,27.000478744506836,46.83990165421047,3592600.0,-0.3359069292597407,1.103448275862069
