ativos
ABEV3
ALPA4
BBAS3
BBDC3
BBDC4
BEEF3
BRAP4
BRFS3
BRKM5
CCRO3
CMIG4
CPFE3
CPLE6
CSAN3
CSNA3
CYRE3
DXCO3
EGIE3
ELET3
ELET6
EMBR3
ENEV3
ENGI11
EQTL3
EZTC3
FLRY3
GGBR4
GOAU4
HYPE3
ITSA4
ITUB4
JBSS3
LREN3
MRFG3
MRVE3
MULT3
PCAR3
PETR3
PETR4
PRIO3
RADL3
RENT3
SANB11
SBSP3
SLCE3
SMTO3
SUZB3
TAEE11
TIMS3
TOTS3
TRPL4
UGPA3
USIM5
VALE3
VIVT3
WEGE3
YDUQ3
