Date,BBAS3.SA,BBDC3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSNA3.SA,CYRE3.SA,ELET3.SA,EMBR3.SA,GGBR4.SA,GOAU4.SA,ITSA4.SA,PETR3.SA,PETR4.SA,SBSP3.SA,TRPL4.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA
2000-02-16 00:00:00,2455200,2819615,8824000000,0,22400,2982118,0,4587288,6580800,120000,1848,602976,7320000,5240000,15052967,8747520000,73564160000,1453,447244,1794600,470400,160,0
2000-02-17 00:00:00,1508400,2655684,3708000000,0,159200,1242211,0,10988085,3578400,0,924,253524,4240000,3280000,7641613,1715200000,21411840000,1996,212721,1239300,9600,175,0
2000-02-18 00:00:00,504000,1934387,4244000000,0,47200,2816834,0,9192581,1699200,0,463,294636,2850000,1930000,7223407,2078720000,22484480000,4039,39803,1042650,28800,140,0
2000-02-21 00:00:00,1875600,622938,6248000000,0,8800,1887851,0,2724765,2289600,0,539,730880,7010000,920000,7833988,1254400000,18700800000,3444,130713,904050,52800,126,0
2000-02-22 00:00:00,394200,918014,4624000000,0,52000,1973813,0,2090586,9028800,32000,1310,690910,10670000,100000,14659361,4994560000,22474240000,1716,157115,828000,422400,88,0
2000-02-23 00:00:00,903600,688510,6256000000,0,112000,1287959,0,2520707,856800,0,740,488776,14210000,1100000,15949897,5461760000,20334080000,1733,154815,1288800,792000,168,0
2000-02-24 00:00:00,1197000,4393354,7676000000,0,44000,2092610,0,2419679,3499200,0,1575,422540,10630000,3020000,12333642,9756160000,32931840000,1587,73007,1448550,340800,344,0
2000-02-25 00:00:00,1519200,1475380,4760000000,0,8000,1503418,0,1603450,3484800,8000,1301,304914,52280000,2480000,15990241,4839680000,36958720000,1057,32503,881100,38400,103,0
2000-02-28 00:00:00,181800,360648,2144000000,0,24000,891720,0,2112593,2793600,0,451,378002,7830000,1120000,6375924,3790080000,11596800000,587,37603,451800,81600,312,0
2000-02-29 00:00:00,2057400,3147478,3784000000,0,35200,1830296,0,2342657,1461600,96000,740,504764,2280000,530000,2558438,1628160000,24322560000,965,39803,380250,465600,58,0
2000-03-01 00:00:00,1758600,5344155,5796000000,0,39200,4112541,75951,1348378,38116800,0,1068,1087184,3460000,250000,9763887,2238720000,23828480000,604,274127,593550,244800,185,0
2000-03-02 00:00:00,1135800,4524499,5696000000,0,12000,5772389,0,2062579,6912000,0,1093,584704,5350000,1290000,12776449,2679040000,24053760000,2524,118011,8419950,624000,601,0
2000-03-03 00:00:00,1465200,3508126,3712000000,0,8000,5241489,10366,1850519,6408000,8000,1361,372292,9520000,1370000,15240914,1624320000,13217280000,2175,123912,3476700,571200,160,0
2000-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
