Date,Volume,RSI_14
2014-09-12,4620200,34.43840780574343
2014-09-15,2902300,41.56270668460784
2014-09-16,4876300,48.45182193669661
2014-09-17,3525800,48.41492105363848
2014-09-18,3848200,44.58087001698613
2014-09-19,3464700,41.743524250385896
2014-09-22,3814900,37.47962435342019
2014-09-23,3317200,36.33927131231151
2014-09-24,2848300,38.40135645977244
2014-09-25,2845400,34.71300181112097
2014-09-26,2982200,43.2283950885737
2014-09-29,5186400,33.49213890994041
2014-09-30,5222300,31.96659304320398
2014-10-01,4918800,28.510149819621883
2014-10-02,3986300,32.632000261032786
2014-10-03,3708600,38.52771132241563
2014-10-06,6714000,50.33692421268231
2014-10-07,4874100,51.58127749846793
2014-10-08,4807200,49.98796114335448
2014-10-09,4503200,50.895455196815085
2014-10-10,3635700,43.058271003297534
2014-10-13,4544400,53.48828543768288
2014-10-14,3904700,53.68860764557969
2014-10-15,5671200,46.671852422059374
2014-10-16,5427800,41.02920084947444
2014-10-17,4406300,46.4422907647819
2014-10-20,3868300,42.27764339239142
2014-10-21,6578000,37.50832160151628
2014-10-22,3755400,37.45724618811095
2014-10-23,6346100,33.48662289961932
2014-10-24,5852100,38.55916126034196
2014-10-27,7999300,35.1782508175181
2014-10-28,5761300,42.12277474733395
2014-10-29,4915300,38.96870867236521
2014-10-30,4299700,43.54591612431665
2014-10-31,5348200,50.64014714922015
2014-11-03,3665200,48.67988587984389
2014-11-04,3529800,50.01506603465744
2014-11-05,2901600,47.90795579546872
2014-11-06,3692500,44.76660442318672
2014-11-07,3592600,46.83990165421047
2014-11-10,2973700,45.28421170206976
2014-11-11,2678500,44.482305771474614
2014-11-12,3198600,46.53374528509915
2014-11-13,3032900,42.71975756603855
2014-11-14,3789300,42.47489068748049
2014-11-17,2824600,40.7253413601498
2014-11-18,3639700,44.56879441417601
2014-11-19,4251300,50.344886149088644
2014-11-21,6026200,59.44380308364071
2014-11-24,4588700,56.62224285851136
2014-11-25,5033200,57.12083541275717
2014-11-26,3033300,55.07132934175942
2014-11-27,2292700,53.39147502302127
2014-11-28,2637700,53.127608365942955
2014-12-01,4312800,43.441276865616246
2014-12-02,3296400,41.19235619237785
2014-12-03,2724600,44.492071250254405
2014-12-04,2913300,41.341213718642436
2014-12-05,2530100,44.04140551038617
2014-12-08,3302600,38.27233445175733
2014-12-09,3852900,38.01946448231392
2014-12-10,3168900,35.980814479812665
2014-12-11,3828900,37.72588720971354
2014-12-12,3756700,32.12489641493592
2014-12-15,4685700,29.62064079057867
2014-12-16,5339900,29.592840622111545
2014-12-17,6209500,39.133954693779565
2014-12-18,4240500,38.41752464301508
2014-12-19,3620400,44.24176450020917
2014-12-22,2675200,46.46075238535675
2014-12-23,2668300,49.969060537040534
2014-12-26,1911100,46.7714820268064
2014-12-29,1852500,48.894071784963074
2014-12-30,2925300,46.2949209667128
2015-01-02,2882100,40.403950092155334
2015-01-05,3866100,37.02690035244267
2015-01-06,4559300,39.668486718087
2015-01-07,4408800,46.91263905577746
2015-01-08,3621900,49.07464063225515
2015-01-09,2999200,44.581608147131334
2015-01-12,3246100,41.95626280878909
2015-01-13,3881600,41.58702911592639
2015-01-14,3697200,40.05313685965297
2015-01-15,4463600,42.25419001084308
2015-01-16,3344900,47.65224010477348
2015-01-19,2096000,42.24883057482258
2015-01-20,2899100,42.90780298727322
2015-01-21,3561400,49.87934017086194
2015-01-22,4952300,50.92850159561715
2015-01-23,3081600,47.65190600910582
2015-01-26,2774200,46.692976001299805
2015-01-27,3890900,46.77453532636436
2015-01-28,4241400,42.31259735824943
2015-01-29,4405500,42.75236480115524
2015-01-30,4846600,38.70242964224169
2015-02-02,3247800,43.699503611764726
2015-02-03,4819800,51.261029818744156
2015-02-04,4811300,53.00561843639703
2015-02-05,4004000,52.60248158067623
2015-02-06,4591400,49.905893657935664
2015-02-09,3658900,53.34950776026166
2015-02-10,3796000,48.09055707406685
2015-02-11,4307600,46.56181988010202
2015-02-12,3828500,54.08865621264229
2015-02-13,3888100,59.348781108703754
2015-02-18,2940700,62.080486423928704
2015-02-19,2485100,62.140048137634416
2015-02-20,2208700,61.72241780719225
2015-02-23,2824500,61.9339727189243
2015-02-24,3004200,64.82150465508951
2015-02-25,3477200,64.26377210025275
2015-02-26,3239000,63.79462920578284
2015-02-27,4177300,62.05774992108658
2015-03-02,2793700,56.799612995593506
2015-03-03,2746200,58.697402475852456
2015-03-04,3654700,51.500052884622036
2015-03-05,2732500,50.67559551097105
2015-03-06,2787800,47.61515185556494
2015-03-09,3299100,41.93332179444229
2015-03-10,4434300,36.69853016783783
2015-03-11,3839700,42.07433340566774
2015-03-12,3833200,41.91175495767055
2015-03-13,4475600,40.08951242550758
2015-03-16,3155400,42.47931099307964
2015-03-17,4013900,53.797246433638854
2015-03-18,4458900,60.94430303965706
2015-03-19,3263600,56.59847049065528
2015-03-20,4916800,61.794418402559906
2015-03-23,3397500,61.33385727267211
2015-03-24,3436500,58.15352287446601
2015-03-25,4774600,60.10426675612487
2015-03-26,3638500,50.83803820499126
2015-03-27,3927700,47.824715344027226
2015-03-30,2798500,54.67323135347413
2015-03-31,3511300,54.05423637131962
2015-04-01,4411500,60.17367966562804
2015-04-02,4266500,63.7292745338751
2015-04-06,3322100,66.21891279301873
2015-04-07,3487100,66.15519653381597
2015-04-08,4780400,65.57759634368144
2015-04-09,4338300,66.24045968705715
2015-04-10,3683000,68.15208169317987
2015-04-13,3660300,68.27446737969603
2015-04-14,3747100,65.58131611316374
2015-04-15,4069600,70.18166146468172
