bvsp_vol,rsi
4386000,
4461200,
3805800,
2893100,
4620200,
2902300,
4876300,
3525800,
3848200,
3464700,
3814900,
3317200,
2848300,
2845400,
2982200,40.2929939907368
5186400,33.1106792353244
5222300,32.91949232832193
4918800,28.84290518112858
3986300,36.218726037429334
3708600,36.5556950780839
6714000,43.623862183744684
4874100,44.913994830639744
4807200,45.99284192671016
4503200,48.78047597870467
3635700,45.44793722267632
4544400,54.9790341878509
3904700,54.36360462369614
5671200,51.342764528716735
5427800,42.71112338454869
4406300,54.102789793658296
3868300,51.3477802290753
6578000,49.598460743093305
3755400,47.54686010441263
6346100,39.8516970217701
5852100,35.3451525082415
7999300,31.275180938511504
5761300,38.77329465969407
4915300,35.67959434239792
4299700,43.3445278905833
5348200,42.72240220693487
3665200,41.16047026408771
3529800,46.27669858758377
2901600,49.06514410576588
3692500,42.01508147128426
3592600,47.502604356409684
2973700,51.64534886103744
2678500,50.874582514138346
3198600,58.74847804538863
3032900,50.28722611023359
3789300,55.77808715982895
2824600,45.718455306548684
3639700,55.321248016688436
4251300,55.435651334485826
6026200,56.781466355032755
4588700,56.89217271398783
5033200,55.781495528092826
3033300,56.96220554172061
2292700,60.8482919098176
2637700,58.06283857965558
4312800,48.72983477434005
3296400,46.98280354614124
2724600,47.94490179325089
2913300,48.88043486721868
2530100,51.61561239748294
3302600,46.921059591871106
3852900,43.130190189299334
3168900,34.233030956414105
3828900,18.465385856549002
3756700,16.22993769887623
4685700,13.728637513246804
5339900,14.239014992582375
6209500,27.217998635545218
4240500,26.845301061775515
3620400,39.47124709392731
2675200,44.190662810757544
2668300,44.58626412767308
1911100,45.06362763873773
1852500,44.566956913609175
2925300,49.26584569901588
2882100,43.2503695364395
3866100,41.86596578297955
4559300,42.790829564888156
4408800,56.91336617607345
3621900,63.93368078216017
2999200,58.28744912621171
3246100,47.86810819068237
3881600,48.39166520372499
3697200,40.54413688889521
4463600,40.113847630824615
3344900,41.61394617334406
2096000,39.54626374754604
2899100,37.7362566081208
3561400,47.15904135959023
4952300,55.108546440974926
3081600,57.03803715587641
2774200,53.58524286921852
3890900,45.02741279445413
4241400,37.11537080635999
4405500,43.10174320656829
4846600,42.11665719334706
3247800,48.047844762916604
4819800,57.75100256636596
4811300,57.50442366809788
4004000,51.819005229245164
4591400,57.5422438681506
3658900,60.08109915645452
3796000,45.555145562798465
4307600,42.283798179619644
3828500,55.13382153252
3888100,61.814316460807476
2940700,64.24238394699692
2485100,70.97813887188413
2208700,70.31002735933536
2824500,78.32487171902484
3004200,77.72958998794918
3477200,72.25557310759234
3239000,70.14357677087764
4177300,68.98119542327238
2793700,67.94316800598932
2746200,66.20165459261182
3654700,66.9680268327148
2732500,69.0038421675076
2787800,54.98242778544058
3299100,34.18415219053206
4434300,19.01168506621627
3839700,28.30233843376244
3833200,28.449515905243462
4475600,26.44969173880232
3155400,22.0367133643915
4013900,39.286979577189975
4458900,48.99665022627395
3263600,46.73344303230195
4916800,55.70097250153949
3397500,53.88846837089498
3436500,56.73440720813015
4774600,59.20275277354278
3638500,53.71818349800962
3927700,55.66246787520402
2798500,66.75739658459419
3511300,63.586553322301356
4411500,68.06924946438693
4266500,72.4219776838003
3322100,73.26068294464247
3487100,68.836626162359
4780400,63.378000618392925
4338300,68.77209049655363
3683000,65.96445338036898
3660300,66.63761213288413
3747100,68.14010468173
4069600,70.48407617395875
4133000,82.0634866427102
3537200,79.75127607916123
2688000,72.74090989800358
3700600,77.41111082297327
5535100,76.7673131917111
4982000,76.96569215699985
3854300,63.42406348180705
4082600,64.8904233131426
3888400,61.39046198417997
4947500,64.86861895534149
3492600,67.5121004344109
3903800,69.66924309043588
4598400,65.36605115451125
3065100,60.69996383456983
3410900,63.174721809001575
2966300,68.53636420805444
3087600,67.08169715318333
3071700,60.528207422581545
3209800,56.47457760225929
2894400,54.58463091636588
3778400,54.77028463108653
3223000,48.36151975497852
3278700,47.67543817956173
3303700,42.72010146701607
3689100,29.02499129722039
1604600,24.246016445693026
3324200,23.923977226606493
3475600,31.288976749660684
2914500,27.963303881250194
5553300,23.346234676049754
2675400,27.133653006185
3476000,38.5272416144626
3317500,33.7484616185467
2729100,27.66678338137714
2582500,30.364024134301932
3678000,33.07819961069475
3587500,44.219836409670506
3093500,41.80230910019423
2379500,43.81355638109251
2607700,40.967929580503984
3280300,50.86357259865515
2993200,43.554846724867105
2665000,52.029408223709105
2948200,57.231146584754406
2354400,56.259977496618276
2625300,46.437188412678836
2731100,53.30838398937235
3234900,52.19645911872774
2705400,60.23799210919102
2550600,51.75865603677629
3021100,43.7751892143264
2714000,42.79083144437797
2998100,48.36304765648266
1498600,45.57857638268225
2573500,38.09195710169679
3538900,42.88452689263128
2880300,28.722465685282963
2678700,40.75822105709744
2606900,44.59500860648431
2740900,46.238094601334105
2533600,43.38672894483388
2075700,49.44817446943214
2440800,36.73393292799499
2635000,38.17655507220751
2942600,36.66038841054593
3123300,35.180146955739325
4181500,26.201291768242623
3632500,26.159951799974163
3489100,25.525293836489926
4137600,32.46751152556071
3746800,40.48149482973015
3261200,32.07931394027288
3142200,36.223732339769874
2613200,32.22325982301974
2670400,33.172588223323814
2662100,33.74935150289014
3640800,35.554339118041554
3218400,32.49282826520353
2842100,38.85758889215356
3288000,39.989058869362815
4234500,41.8456952848518
3186500,42.718635666498315
2878900,42.692837099346306
2411800,34.377788484009564
3544600,30.776465284112437
3236800,28.57133224921387
2945700,19.28021936456952
2869600,18.53113522520223
4727700,15.466158333834812
3726600,15.534027534004117
