Date,ABEV3.SA,ALPA4.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,LREN3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2017-01-04,0.07360837213845631,0.024410023740894286,3.1887159862551916e-10,7.812301138104745e-10,5.843060341207964e-10,0.016370189921026016,4.3607060087820965e-10,0.02355389606945483,0.003776281057602261,8.747818025306237e-10,3.263644318162523e-10,1.0612179691047651e-08,3.9192808517647677e-10,8.750708086728119e-10,2.5751966393586953e-10,1.362461120738848e-09,1.0862123878710354e-09,0.006064123246956297,6.91687311551859e-10,1.6671710451628524e-09,0.0459311926672637,0.004118086966870636,0.06185809796788786,0.02232186813409274,8.091648275000654e-10,0.06233684305384318,6.295389277213552e-10,4.037387014536941e-10,0.0015620446212377527,8.825026277274105e-10,6.755760459633462e-10,1.5812601697237e-09,8.537394755819202e-10,2.4833825205625298e-08,1.635478596142914e-09,4.9111793952318135e-09,0.1285526374637329,2.2571662936891918e-10,2.2987116326822925e-10,0.009399431437133218,0.025968345334970427,9.150377749404587e-10,5.542863344886958e-10,9.235906252560099e-10,0.05053161073189517,0.025953655846216193,0.29999999969474606,0.043801038118966545,2.4652941049715746e-09,1.915177846079205e-09,0.04500480423779106,0.024844880744376723,5.449658663188546e-10,5.321892728404432e-10,6.8221608109038764e-09,3.250263459692226e-05,1.5598398280754203e-09
2017-01-19,0.06964500484662306,0.02627061336285275,5.366054588591958e-11,1.217620605460663e-10,8.918986731363149e-11,0.02163558261452362,6.542761901884205e-11,0.018747222132630532,0.0047450086782944555,1.4876170689881797e-10,5.3725572194023453e-11,0.0023610762943961834,6.906659082416928e-11,1.5509792258622876e-10,4.20200952094148e-11,1.6415031090631637e-10,1.2451104614091587e-10,0.005342193604781806,1.02072950390402e-10,2.1133329299033335e-10,0.04376073593371943,0.004702856403425637,0.07368442883601557,0.02519377422744356,1.3444193636557744e-10,0.061611642280342944,9.066534643020364e-11,6.122240927851534e-11,0.0008624160239882833,1.29656092440416e-10,1.029361489436157e-10,2.0961964518079564e-10,1.3742138117049833e-10,0.0024270192496204297,2.610746342020517e-10,3.650339109736449e-10,0.12269798807945033,4.0315028637191736e-11,4.092457357668927e-11,0.007954604116215416,0.02356486697182748,1.3998153158727572e-10,8.681897282146146e-11,1.3662232052389444e-10,0.047372020619841776,0.02496656299304639,0.29999999993793613,0.038523911950515806,3.193758125248886e-10,2.6936714468925267e-10,0.042572611048215546,0.03135784039451758,7.633272863975524e-11,7.882633317758495e-11,1.4690017261307123e-08,4.375314961414445e-10,1.9081125056240997e-10
2017-02-03,0.08557275970452337,0.03397254454250716,1.2357864686829545e-10,2.993180103245762e-10,2.1615532528061305e-10,0.03214452641495258,1.4901020241447517e-10,0.034742100016661455,0.008070820720224268,2.973732317789137e-10,1.0845950659302109e-10,1.979065037823621e-09,1.4858945358212935e-10,4.3655267931474166e-10,8.895147605620158e-11,4.948171377715859e-10,2.5550938368346935e-10,1.4413903371981684e-08,2.308006159018126e-10,4.80491496420747e-10,0.04444544937652043,0.0070551435812004765,0.08347926647242929,0.03929217389431638,3.401029702550093e-10,0.06743832116036083,2.015612508187496e-10,1.2585346358306162e-10,0.012484778085724811,3.169469849314338e-10,2.457637203829203e-10,6.314653217111255e-10,3.0947002672662577e-10,6.326004944342249e-09,1.0413034520732767e-09,6.172803404620894e-10,0.009397306968355747,8.63071268021645e-11,8.818838376856535e-11,4.333913367393962e-10,0.021133260653643845,2.993527222764331e-10,1.7949411245623345e-10,2.4563470633669024e-10,0.05294628560310844,0.03143647638354391,0.29999999988952375,0.04219264909864581,1.7267882238916121e-09,7.080951365274923e-10,0.055174526163650005,0.03804522148717808,1.7283163625934772e-10,1.826169231884591e-10,0.0009763507074720802,4.5923753346506856e-09,4.820536376809081e-10
2017-02-20,0.0841577937931096,0.02970023509240511,4.067947852837106e-11,9.924295062325046e-11,7.01394733533288e-11,0.029514609013519204,4.886970809020386e-11,0.02986113448295727,0.010134966853550446,9.645779509366064e-11,3.4999729568480865e-11,5.995137146851378e-09,5.03775520830551e-11,1.6256676323700727e-10,3.016954531923365e-11,1.7999828974089173e-10,9.012343746724223e-11,3.765400635102177e-09,7.15810700614617e-11,1.7171289722324657e-10,0.04428688032199303,0.006197157883017887,0.08379332206003087,0.05085820185932019,1.2665687096432963e-10,0.07526089749894495,6.891429909024577e-11,4.2997207254447584e-11,0.008669956419984599,9.874645338176828e-11,7.795820283804253e-11,2.258565766540215e-10,1.0047537260683642e-10,0.001802044542044269,5.65399875316695e-10,2.2715052109495056e-10,0.009381449931449922,2.944186896103758e-11,3.000282409538994e-11,1.6978088347244527e-10,0.017364086849371532,9.79643862303004e-11,5.681211971898063e-11,7.953604371937022e-11,0.053148881461247556,0.03420583105177073,0.29999999996355015,0.04314719221807813,5.313430621724597e-10,2.0800104984024447e-10,0.05095854520895706,0.0375567922930783,6.049317055738761e-11,6.014687958317883e-11,5.337348288175026e-09,1.93909924415755e-09,1.6003760208630557e-10
2017-03-07,0.07835125497979874,0.028345264113315515,4.979110778358696e-10,1.2695548280031006e-09,8.778514963410287e-10,0.02854259712567925,5.953757864292192e-10,0.03049768879578845,0.00934858266872712,1.1883266982781927e-09,4.409201027770387e-10,0.001303776270813611,6.200230369384258e-10,1.8506100657266516e-09,3.6498786590177033e-10,2.264484794180304e-09,1.1237846701180092e-09,0.0013861788834861868,8.834870291524266e-10,2.0906696823223286e-09,0.044336556727049246,0.00570481780439173,0.08199209321704069,0.049115243407628593,1.5152220129043274e-09,0.07892747522317216,8.119693743868641e-10,5.221294192280133e-10,0.009018252477269834,1.201999783115796e-09,9.60285944966254e-10,3.158670549342681e-09,1.230804136856135e-09,0.0008351251771250565,6.087710249359732e-09,2.8600554488693814e-09,0.009634201009416301,3.6470397085638024e-10,3.7014437158809744e-10,2.1596833960244235e-09,0.019830046356353624,1.1811861159151425e-09,7.103385658987931e-10,9.898876829910131e-10,0.05153756953762035,0.03841112785502211,0.29999999953924955,0.043549807122375404,5.707832845784999e-09,2.883195549888455e-09,0.049272186881704615,0.03993522032549914,6.706798736755484e-10,7.312513647546163e-10,0.00012487402947529032,9.955405419154494e-09,2.330854252543051e-09
2017-03-22,0.08249568940569582,0.02976314332101915,4.4906128479444917e-10,1.1125735176430553e-09,7.984055322880195e-10,0.03706534295030248,5.036957072555157e-10,0.02674971470043349,0.006401360426092282,1.0349639734145164e-09,3.8881456749237185e-10,0.008769810097645405,5.306074417322082e-10,1.5431224491701599e-09,3.0660458990091207e-10,1.9865198319703754e-09,1.0299352018771977e-09,0.00223924481245909,7.714314080612849e-10,1.8319392908211907e-09,0.04294993449851876,0.006790224758185836,0.07940699199788147,0.04295204750498744,1.2641675129939292e-09,0.07746724434479353,6.699955065725915e-10,4.4841024503571276e-10,0.01024395177026009,1.0842699786514095e-09,8.865255985032341e-10,1.926213291170693e-09,1.0700375603321484e-09,9.76653085847191e-08,5.1387755599072466e-09,2.7171794637016738e-09,0.009708719139666313,3.2008847159315626e-10,3.2275218184868295e-10,1.6897217390933304e-09,0.01679426260235602,1.0827078991859083e-09,6.395470330055533e-10,8.599454786419188e-10,0.0504114976328596,0.03843243029721464,0.2999999995611676,0.04293651820649395,4.413664818838579e-09,2.5730453012564266e-09,0.04444612754665682,0.04397558174701299,5.516737118398333e-10,5.998742313632848e-10,1.2678595701208012e-08,1.0250524225147165e-08,1.537598342374188e-09
2017-04-06,0.07927782733952354,0.0308059299325325,1.0612500785324978e-10,2.471125834537878e-10,1.7521742030185028e-10,0.04057272619284594,1.0659597684050832e-10,0.02122240628272174,0.00655506980553602,2.395020159909787e-10,9.070384738675761e-11,0.013838884334446773,1.231376991272193e-10,3.452424182143335e-10,6.810703038508838e-11,4.452573389422329e-10,2.210138195045334e-10,0.010540427294282314,1.8023897808185878e-10,4.312520131436791e-10,0.040918280410266974,0.006130769915503134,0.07616601191673046,0.0412009428330835,3.089905745364868e-10,0.0806204309458153,1.3388695171133264e-10,9.375144682519292e-11,0.008396256760944201,2.403406598973642e-10,2.0070733326944793e-10,3.967970579251263e-10,2.5165590438094387e-10,0.0001761362825292209,2.3881487530690356e-09,5.261219188987317e-10,0.009323140503715648,7.486688805327637e-11,7.453305414213261e-11,4.09211287297555e-10,0.01031060950929474,2.370705410735535e-10,1.5074590024972017e-10,2.1693964274537394e-10,0.054444607390111116,0.04189451516939181,0.29999999989384596,0.04253597881611602,8.187422042252333e-10,5.274334503946184e-10,0.03989924537766162,0.04516978649385714,1.0566890254749946e-10,1.260957419637876e-10,2.9225447687075626e-09,3.2355141148734008e-09,3.7997097906086965e-10
2017-05-08,0.08320930793960135,0.028400357849360985,1.4184038124948766e-10,3.319618460096142e-10,2.380805463857162e-10,0.043721797252945914,1.3712142440444596e-10,0.018353620253055595,0.00636846659008615,3.201961939822987e-10,1.1382789839425501e-10,0.019645801252162993,1.6192242776998705e-10,4.3361294433706055e-10,8.871488269700615e-11,6.466504075517602e-10,3.173683763161036e-10,0.017155273250970795,2.2830877676903824e-10,5.243610358579815e-10,0.040700594542376685,0.007904568120865124,0.0776617149694584,0.041220091319150436,3.971372489308583e-10,0.06675870149990379,1.9353467859951931e-10,1.3155575148885482e-10,0.010470573790078735,3.198379584402072e-10,2.72147420244854e-10,5.72380258732698e-10,3.3853469825745695e-10,2.8445946085920903e-09,2.073129083746692e-09,7.881407201887152e-10,0.00634826200817952,9.881866882449383e-11,9.905278951253835e-11,4.173413357012663e-10,0.006565288004823851,3.3868247706147794e-10,1.9956773972345008e-10,2.7695550133259873e-10,0.057800660042405826,0.04407594500733192,0.29999999986833836,0.04100009086302499,1.4713039315754077e-09,7.807300265173767e-10,0.03843844522278196,0.04420041850629462,1.4211437765781872e-10,1.6856866417235996e-10,2.0486534842043164e-09,3.561743731011243e-09,6.283098391892301e-10
2017-05-23,0.08404000485498722,0.023979449119323915,4.3353356439306663e-10,9.219507905494984e-10,7.315429102951974e-10,0.054251821348054785,4.96765457645091e-10,0.015616688865643923,0.01371540443920142,8.655977649708886e-10,3.781521908576848e-10,0.03252365725810249,5.187336533657278e-10,1.3020221120843788e-09,2.958019022729517e-10,1.1658857524220718e-09,9.605309066524858e-10,0.018412961805994332,5.954540168638196e-10,1.1253090764553333e-09,0.04874367847461794,0.007904708740378404,0.07018327671181801,0.041849226229022714,1.0365147836723686e-09,0.06767849240315972,5.646953565717951e-10,3.901840014192256e-10,0.004484260122901775,9.88479776941663e-10,8.290402336207989e-10,1.1113339398472e-09,1.0850226704571446e-09,2.588072491773649e-09,2.6059597253791927e-09,1.6100540692442745e-09,0.007399575440936073,3.585857960359779e-10,3.439715525197501e-10,8.521494052816216e-10,0.00814437455934418,1.1500775718461296e-09,6.629262839833863e-10,9.330491088458377e-10,0.04942269200245172,0.03675583630990135,0.2999999994488421,0.03715570781339132,2.320701897888232e-09,2.691444314895102e-09,0.03869412831853282,0.0390440057837336,4.3001090646366445e-10,6.20527363915045e-10,2.3379685968991695e-09,1.3426578260236182e-08,1.2210320994466047e-09
2017-06-07,0.08945398175419543,0.021980415398179243,1.465791238020932e-10,3.278031580921884e-10,2.665261694353399e-10,0.05648328501474143,1.713313332471483e-10,0.007697267663676765,0.01279888887775057,2.987647706065564e-10,1.253216814855138e-10,0.04243549036869879,1.7612047981560898e-10,4.761143877263499e-10,1.0339227737178395e-10,4.360254624359898e-10,3.2248919366338307e-10,0.016570246557325287,2.0411191799130606e-10,3.961794147511489e-10,0.04985985578893453,0.006864483660158193,0.09261001464879616,0.03020147947945827,3.9886202839636356e-10,0.0657717543217034,2.0908376375315906e-10,1.425036357975054e-10,1.2074387483085585e-08,3.5646090666526194e-10,2.903103718138272e-10,3.90341627358632e-10,3.5351010366952404e-10,1.755709852624599e-09,1.192106797227858e-09,6.557553923669872e-10,0.007014744650625618,1.274073373202785e-10,1.2217085484565338e-10,4.052489207126897e-10,0.006138365917518034,4.06814100412475e-10,2.3474502525858313e-10,3.540161428539746e-10,0.047429430576170266,0.03714804353714759,0.2999999998124773,0.03814010428233192,1.115160208753037e-09,1.4672483724139827e-09,0.032474430367296775,0.03892766947315982,1.4589346530482893e-10,2.2352641834539846e-10,1.534268849074213e-09,1.9807453458318965e-08,6.359099943884634e-10
