Date,ABEV3.SA,ALPA4.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,LREN3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2011-01-17 00:00:00,278812.0,265406.0,4871600,1164010,9919188.0,25323.0,1241244,886327,1639500,1453200.0,2657523.0,3378959,152326,1962551,1981677.0,1323100,1955300,1425916.0,286625.0,1072407,475300.0,1172200,33301.0,2222.0,479191.0,272347.0,284627.0,4391226,672700,2004600.0,7211569,6860992.0,2455000.0,3017288.0,787967.0,2991084.0,294916.0,0.0,4360500,19288800,360000.0,101400.0,2196470.0,360084.0,269400,55176.0,138000.0,0.0,7200.0,157800.0,275697.0,632188,0.0,2302600,1496400,12400,791596,818700.0
2011-01-18 00:00:00,780875.0,4465955.0,6240000,1150753,17901850.0,129361.0,1895924,3297703,2292000,3175200.0,4451898.0,3739217,273129,5520550,5228964.0,2541100,3013300,2021595.0,527250.0,1244772,557300.0,2661300,80455.0,0.0,1012185.0,371581.0,354405.0,6579972,788400,2642500.0,18643876,20182618.0,3620200.0,10306274.0,1641004.0,2374101.0,1016457.0,0.0,6112800,22139400,810000.0,6054880.0,1700650.0,1902186.0,1429200,377520.0,212400.0,0.0,0.0,351400.0,861742.0,332433,0.0,5650300,2545400,8900,2649920,7364100.0
2011-01-19 00:00:00,134150.0,825357.0,7069200,1864052,15190826.0,482561.0,1660777,2323971,2019500,1794800.0,8910167.0,2533379,385258,7785185,2534819.0,3475200,2457300,1901816.0,350500.0,1108321,933000.0,1202400,58291.0,0.0,611937.0,149805.0,492477.0,7214760,924700,1996600.0,26771028,15660526.0,5902700.0,5513360.0,1028531.0,3829494.0,765043.0,0.0,4455900,22631600,495000.0,585000.0,1307763.0,3303046.0,717600,425436.0,106200.0,0.0,0.0,149300.0,599603.0,362691,0.0,5134000,2695300,2900,2209844,396900.0
2011-01-20 00:00:00,473530.0,378129.0,16700600,1486390,22142227.0,515206.0,1480513,2132670,1773000,2906000.0,8887672.0,4712474,520660,6784905,6799273.0,3728400,1783800,803461.0,1017750.0,1541785,890100.0,1465200,70269.0,0.0,1121297.0,173931.0,315380.0,11009754,859000,2022200.0,31896967,26342160.0,2182800.0,8039618.0,1192159.0,2840386.0,1073161.0,0.0,5361900,21486200,1415000.0,1061840.0,1960947.0,3522929.0,2301300,262328.0,75300.0,0.0,300.0,299500.0,1559271.0,456692,0.0,6396500,4423200,10700,1752192,295200.0
2011-01-21 00:00:00,176698.0,563281.0,8862000,722041,14435129.0,293401.0,814336,1834321,1396500,3076400.0,7219903.0,6939728,456344,6164730,5926579.0,1928400,2063500,1358618.0,368125.0,660951,428200.0,836400,34306.0,1111.0,463101.0,104822.0,719627.0,7324884,800700,2211700.0,16279485,13275946.0,2445800.0,7555966.0,1552200.0,2493890.0,419123.0,0.0,4923700,18127100,415000.0,6421480.0,1789277.0,3008166.0,1624200,202796.0,131700.0,0.0,0.0,181900.0,549888.0,465165,0.0,4725700,1920200,5800,6436872,825000.0
2011-01-24 00:00:00,199223.0,510999.0,6149000,768861,8434172.0,709451.0,1211309,904712,943400,1751200.0,16184017.0,4267845,321577,3486979,3356654.0,1163200,1632100,1689928.0,220375.0,665452,512200.0,631800,53266.0,555.0,1750330.0,465499.0,555468.0,4976370,944700,1404600.0,10765886,7017577.0,2548400.0,3951722.0,976536.0,3290941.0,564932.0,0.0,4394900,10765700,580000.0,1022840.0,2422921.0,1895624.0,895200,390588.0,159000.0,0.0,0.0,566200.0,762310.0,289265,0.0,3470600,1766900,1000,4027608,1554300.0
2011-01-26 00:00:00,349892.0,602742.0,11011000,1334930,14068926.0,111360.0,1319988,2243396,3243600,3829600.0,11645325.0,5376618,321366,4290204,5371637.0,3264000,3198200,2438052.0,884125.0,1223464,721800.0,2792000,327473.0,5666.0,568191.0,176385.0,886331.0,10207764,1018600,4826500.0,14711618,10075496.0,4475900.0,11084409.0,1604798.0,5142109.0,979255.0,0.0,5191100,21396900,1240000.0,5393440.0,3744641.0,3925824.0,980400,1183380.0,48300.0,0.0,0.0,1043100.0,1816890.0,856097,0.0,6942100,2714300,11400,3111628,2241600.0
2011-01-27 00:00:00,249780.0,842840.0,16682000,1695105,16239766.0,711180.0,1409144,2470729,2304700,2544000.0,3989469.0,4532158,993506,6050698,6124612.0,2655900,5708800,3041050.0,592625.0,1539384,1540000.0,2384200,40961.0,0.0,772337.0,559144.0,406155.0,8721342,779100,3717400.0,18701528,16356046.0,3941700.0,17797843.0,1727092.0,8718936.0,1021558.0,0.0,4813400,18552100,1090000.0,19282640.0,3895376.0,2551837.0,524700,1120460.0,219300.0,0.0,0.0,341800.0,580018.0,559973,0.0,7457600,2259200,2500,6681584,1067700.0
2011-01-28 00:00:00,279813.0,516160.0,16990400,1958537,22357459.0,450526.0,1843428,2487853,1292000,3258000.0,7499390.0,4706874,1019317,5508546,3214431.0,3696800,3152600,2876466.0,605500.0,1028090,863900.0,1814300,104766.0,2222.0,2714747.0,655516.0,770741.0,10617768,974500,3005900.0,19264793,21233037.0,3890000.0,13014320.0,4726598.0,5380256.0,817546.0,0.0,4915300,28037200,3045000.0,2197520.0,4677661.0,3306379.0,1451700,273460.0,96000.0,0.0,0.0,591300.0,1988636.0,977936,0.0,8795800,3728400,11400,3071744,516300.0
2011-01-31 00:00:00,765358.0,1268756.0,14162600,843604,15682183.0,280892.0,1016293,1309479,1752500,2406800.0,8096587.0,5551707,427360,9566686,3910246.0,2645800,2534400,2048728.0,580000.0,1038594,885300.0,1197500,439791.0,2444.0,854298.0,240451.0,428213.0,7368354,895100,3045900.0,22338678,16311684.0,4331200.0,14899958.0,3087807.0,3426679.0,333619.0,0.0,7851600,33947200,2485000.0,4492280.0,5161617.0,1354820.0,571500,242968.0,452400.0,0.0,16800.0,265300.0,2101626.0,661639,0.0,8596400,2203800,20600,2080052,957300.0
