,limite_inferior,limite_superior,obj,start,end,rf,total_return,cagr,max_drawdown,calmar,mtd,three_month,six_month,ytd,one_year,three_year,five_year,ten_year,incep,daily_sharpe,daily_sortino,daily_mean,daily_vol,daily_skew,daily_kurt,best_day,worst_day,monthly_sharpe,monthly_sortino,monthly_mean,monthly_vol,monthly_skew,monthly_kurt,best_month,worst_month,yearly_sharpe,yearly_sortino,yearly_mean,yearly_vol,yearly_skew,yearly_kurt,best_year,worst_year,avg_drawdown,avg_drawdown_days,avg_up_month,avg_down_month,win_year_perc,twelve_month_win_perc
0,24,70,MinRisk,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,3.1397197009017814,0.1792542404697708,-0.33265477549831424,0.5388596637497518,0.06553702086374025,0.14330493371420605,0.13341217740269284,0.1773789125378542,0.1811210197149813,0.18530752504444092,0.21005375283562322,,0.1792542404697708,1.0334919073362818,1.6798302466684198,0.1824807039477799,0.1765671338618461,0.7556481282462503,44.9320126390396,0.16131227980335816,-0.12027778624020224,0.8851852617733035,2.1005907920183917,0.18698949207002497,0.21124334096506125,2.333852719848593,16.431914100008157,0.40315316719513117,-0.19820374716502287,1.2733165162978737,35.59095424065806,0.21566360827300252,0.16937156277532428,0.14976904082879666,-1.492115708648532,0.4399802325320403,-0.01713887172946782,-0.027603974935869583,37.9041095890411,0.04293457812963954,-0.027497132047489416,0.875,0.8279569892473119
0,24,70,Utility,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,9.039763168206518,0.30696196143222454,-0.7879097931201219,0.38959023496415185,0.04373213352515193,0.08724678708618572,0.5495045567180858,0.5049475429527523,0.5033314833133329,0.6149725867565474,0.683316483303205,,0.30696196143222454,0.7814559830584401,1.3111867101019385,0.41300308661369084,0.5285046062316795,-0.055974351683135234,24.317261419039536,0.3228766304173385,-0.3654062515224098,0.765387207111161,1.6065094821278993,0.4186844098705699,0.5470230048014928,0.5521691176178916,3.669571079596478,0.6018509096290536,-0.5761421012830272,0.9970515011667594,2.761788254202792,0.4861556324506685,0.4875933007289638,-1.1234295718191145,1.9502849767528865,1.1231077993614926,-0.4978860256861106,-0.09058230823083653,42.6865671641791,0.12719560983159736,-0.08888257110625424,0.875,0.7526881720430108
0,24,70,Sharpe,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,2.625382346151722,0.16123531652279688,-0.44349830992222183,0.3635533956173889,0.04245288479026499,0.11752583279534723,0.2173871064933821,0.1852399229846402,0.18579605427117318,0.081750004246542,0.17131901608653033,,0.16123531652279688,0.798319299690557,1.1922874637345435,0.17609704691253647,0.22058472966993892,-1.671386902819883,21.997479967708077,0.11003071357559535,-0.1543986209010514,0.842490339537781,1.4563651390646377,0.17223822701739244,0.20443940889801562,-0.8435590130027437,2.2546915562626273,0.14276105009790285,-0.23945854533815725,1.25276125016646,96.73216033010644,0.20396946649087824,0.16281591281960223,0.27509383304700563,-1.2297623446202461,0.42774339034428754,-0.005964022406550695,-0.0405859770708832,37.38666666666666,0.05140449226153935,-0.044002622431109015,0.875,0.8494623655913979
0,25,70,MaxRet,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,28.713421904121724,0.4823651064594603,-0.7879098590226754,0.6122084917909095,0.043732545081707874,0.08724718714780222,0.32154752789403385,0.4673062527878973,0.4657306136314141,0.6013853471434034,0.9407391942335084,,0.4823651064594603,1.0134650520279866,1.7268679950661139,0.5456995708049183,0.5384493226608558,0.00637890960893725,22.741044570864393,0.322876737789042,-0.36540629410953795,0.9958056834250368,2.1093306298790506,0.5546772547877798,0.5570135459359781,0.37434650086135973,3.1656501480724577,0.6018519762492052,-0.5761421608693704,0.9384382558105998,7.6043102448368876,0.7270602563278638,0.7747555599167758,1.2214279718744043,2.5042329671801316,2.332661405131696,-0.27043043801624356,-0.07854630785229418,34.15853658536585,0.13438881353741722,-0.09263788706488765,0.875,0.8494623655913979
0,25,70,MinRisk,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,3.1064158056815048,0.17814920990558392,-0.31256094309717664,0.5699663180572004,0.0655370215627975,0.14330493366184927,0.13166615677710602,0.2020179670094977,0.20583838570082458,0.19352447760498803,0.20606859649436915,,0.17814920990558392,1.0486340195193473,1.72712453364056,0.18077378799183114,0.1723897800632968,1.0519646140619239,45.8159583096811,0.16131228036547807,-0.12027778797221567,0.8801330534966012,2.0657376126858575,0.1861091129946484,0.21145565690922782,2.3008454686644972,16.493291651419565,0.40315316817873015,-0.20272578215249348,1.2328345937838956,35.50100685247404,0.21511859989166784,0.17449104768500368,0.08702560214187623,-1.6864680375301258,0.4399802324940514,-0.017138873990234837,-0.02698461918762064,38.0,0.04276837876258381,-0.02742428272096787,0.875,0.8279569892473119
0,25,70,Utility,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,28.71366893365515,0.48236653681261443,-0.7879098026638733,0.612210350958655,0.043732136380567166,0.08724679489000153,0.32154669412163583,0.46730517823489004,0.4657295398713135,0.6013846924050443,0.940738264116461,,0.48236653681261443,1.0134672055598364,1.7268712530693688,0.5457003535998944,0.5384489508947171,0.006376624305784318,22.741077514053092,0.32287665352671224,-0.3654062556787644,0.9958077237449184,2.109334659134251,0.5546781771509948,0.5570133309119407,0.3743426281093506,3.1656438933913504,0.6018509686708269,-0.5761421058313132,0.9384413634756745,7.604561069058969,0.7270606905418444,0.7747534569970931,1.221441108252371,2.50425125738482,2.332659889245338,-0.27042167980376597,-0.07854621979672848,34.170731707317074,0.13438891633867284,-0.09263785105309212,0.875,0.8494623655913979
0,25,70,Sharpe,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,2.999123158221006,0.17453452769656863,-0.4388809394820331,0.39768081043244696,0.042452884521499756,0.11752583328679367,0.15878026066539186,0.3075408003993283,0.308154317169993,0.11777133535576678,0.18887736592012883,,0.17453452769656863,0.8481396507844258,1.2779721226571517,0.1877691853032706,0.221389467087887,-1.508027723160532,19.72426795589284,0.11003071453407198,-0.15439862140497096,0.8841186985968481,1.5187586713976888,0.18492596739523834,0.20916418540714893,-0.9376068849738393,2.972409434878652,0.14276105067644562,-0.2572816472278694,1.3315811189191584,103.71102201015715,0.21868523414168664,0.16422974990753322,0.028973028430073496,-1.414724486274749,0.4320120342777167,-0.0059640261569039454,-0.036533131479729,32.25581395348837,0.052141100101288425,-0.044865363752307603,0.875,0.8494623655913979
0,26,70,MaxRet,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,31.50749469523209,0.49790825988637133,-0.7879098591857158,0.6319355622747842,0.04373254505561408,0.08724718716763613,0.3215475278892379,0.46730625272393866,0.46573061356739576,0.6013853471786244,0.9407391938954637,,0.49790825988637133,1.0344067586284256,1.764657667000233,0.5554997207374406,0.5370225166297318,0.007284066649705046,22.990388858795207,0.322876737717267,-0.3654062943063805,1.0196512596223979,2.173459056564813,0.5623171902986641,0.5514799153064393,0.39800870769449553,3.379792225466307,0.60185197629179,-0.576142161191764,0.9382640522799678,7.590987174526377,0.7270035664599009,0.7748389855641309,1.220771599481286,2.5034013984218637,2.332661405256825,-0.27088395222992856,-0.0723667803450464,32.172413793103445,0.13463143379621373,-0.08586812224313133,0.875,0.8494623655913979
0,26,70,MinRisk,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,3.104493266056555,0.17808517805751856,-0.3125609418043599,0.5697614584517945,0.0655370212654629,0.14330493208923856,0.13166615218898214,0.20201796409598294,0.20583838268240484,0.1935244748645295,0.20606859325687998,,0.17808517805751856,1.0481905702848118,1.7258240198115908,0.18072344873064594,0.17241468665525223,1.0478767046013175,45.82119025024238,0.16131227989128116,-0.12027778814132617,0.8797845944074826,2.063824512238195,0.18606008702725307,0.2114836838585027,2.299497557129703,16.4848232162643,0.4031531641890851,-0.2027257836390347,1.2330368521798447,35.502568211492125,0.21512810822306802,0.17447013675442888,0.08704896773327268,-1.6857941398879244,0.4399802317593251,-0.017138877755792814,-0.0269900223421825,38.0,0.04276213629432276,-0.02742497098896029,0.875,0.8279569892473119
0,26,70,Utility,2015-05-17 00:00:00,2023-12-28 00:00:00,0.0,31.507779715673422,0.4979097841831164,-0.7879098018901853,0.6319375428362959,0.04373213659683617,0.08724679546820413,0.32154669426608073,0.4673051788876288,0.4657295404477868,0.6013846932274645,0.9407382710400516,,0.4979097841831164,1.0344089261695268,1.7646611607348754,0.5555006187813675,0.5370222595027452,0.007281790208798139,22.99040054630972,0.3228766534427956,-0.36540625507678637,1.0196534039134444,2.173463503408189,0.5623181859816139,0.5514797320574114,0.3980046165947131,3.379784287611259,0.601850968472678,-0.576142105032818,0.9382671548463307,7.591237121962287,0.727004004551052,0.7748368903205618,1.2207847481310936,2.503419662487925,2.3326599103023296,-0.2708751963922006,-0.07174732875368263,31.761363636363637,0.13463156171106028,-0.08586810722951754,0.875,0.8494623655913979
