bvsp_vol,rsi
1862400,
2427200,
2309200,
2546000,
1761000,
1610800,
2138000,
2516000,
2237800,
1806600,
1538600,
1877400,
1884800,
2169600,
2071800,44.48043303680463
1474400,44.02791836571753
2542400,33.52075434267562
2304400,32.7573672318775
2544000,29.2541960906202
2253800,28.194362377322257
2114000,36.262040996399975
2551400,23.310663915239296
2380800,26.50022274874847
2676800,20.638137115347046
1980400,22.167785408691696
2764000,23.207324140790682
2811400,21.43687681066701
2356400,25.418893602522772
2396400,34.85503076687891
1945000,37.92203720234215
2355400,39.58328453420669
2672400,48.37046254588488
2147800,55.251488081533005
1944000,57.520343574208376
1453000,47.4895988804008
3045400,49.1065670741655
3335000,51.1149804516484
2699200,60.272981171927746
2394600,59.503825229223835
2640400,59.79317600434026
2166400,63.08313396554728
2518600,65.90748440412182
2254600,64.45028592194403
1840000,59.62446873373295
1407600,55.89921505782217
2375000,41.04740164591478
2491000,44.6613087806261
1874200,45.3321116392783
2852200,48.786515670222414
3056800,47.71553542519166
1985000,46.07586706351791
2842800,49.93097673705247
2557400,49.13001534076405
2357800,51.354836372323696
2145600,59.449828671249335
1819800,51.9079056266669
2223800,47.62762588136469
1444400,44.86829852925362
1768200,51.3728319239896
1859800,65.62885876304017
2124400,65.23460423674088
2397400,66.19825867917646
1200,69.93420904522816
0,82.59289755733185
0,72.07700010992255
0,69.51680003757636
2111400,66.63525921258882
2173800,55.21427075685972
2525800,43.65019390454487
2515200,42.70199761148636
2259000,39.498921494255804
2145800,46.47433581915539
3060400,37.34116625818456
2214400,38.80351903565483
2397400,41.23000532138231
1385800,35.725357798724325
1726600,33.584807353476066
2151200,28.970788628816916
3090000,29.583893999754164
2645000,32.384035555966896
2306800,31.5029507247257
2235400,29.357492757127364
2490000,31.083465830437945
2806000,31.774442338170754
2690000,40.19946490590936
1880800,38.92879811796654
1982600,46.929091215654104
2458400,36.02620007669548
2486800,30.59389227634633
2667400,28.052354342438527
2459600,25.30891665672917
2210800,35.32626600688299
2488000,34.25905458922011
2291200,29.043676286308013
2087000,33.27453700410057
1767600,37.07371790811964
2006400,48.51037787547508
1918600,50.177758774913144
2397000,48.149241678567186
1672000,48.093350806194884
629000,44.16157418743589
2428400,56.215790342973975
2158200,46.598218153871606
2135600,56.407196023887984
2155800,60.058799359359895
1822400,46.60636739107912
2089600,52.87114853861017
1805800,55.033745156112964
1946800,56.28450176518662
1688200,52.59759818352796
1397200,41.514326023293954
1762400,42.54178932021371
2668000,33.71962483432921
1991000,29.056239941945762
1974600,31.935702970510526
2019800,26.919932077389124
1696600,34.79540181669544
1863400,24.56034984013021
1449000,22.286408664997705
1634000,31.173752947538933
1796400,42.46502866967345
1873400,44.14135363282352
1814000,40.35225908822076
2376200,56.478332864733474
1000400,67.47933612743732
1937800,57.176959002648545
1612600,58.47373026082534
1865000,62.449673854530936
1670600,54.10021328907208
1773200,43.61402248417817
1946200,38.527403758356854
2284200,47.10166471857985
2363400,42.76945132259192
1960200,40.50162175274067
1956400,29.792392780518874
1888000,31.58530705570609
1946000,31.35482842091735
2159600,32.98712699707982
1809600,29.241127295801952
1772400,31.127704604744906
2174800,30.423904901723976
2619000,27.901357878628918
2234000,33.79956329429191
2366400,40.67592298194848
2109400,41.963415841784084
2696200,27.183545589794225
3491800,25.86902615089495
4455400,18.254400566623904
4320600,20.599499437289918
4894600,12.669597594767861
5268200,27.240545884674383
4358800,23.553145082893135
4066000,32.43721010714028
3269800,33.44635469381683
2540600,38.89094812945534
2464600,40.30542637982111
3160600,41.499661508302644
3120400,37.149965566840436
2577200,36.34416688785139
2140800,38.50443100609429
2679000,45.44950201249616
2492200,54.28140298502154
2381200,51.138073462874
2223000,70.27218203493352
2293800,67.09523651880555
2343400,67.81909147477835
2940000,64.93771714687527
4013600,69.02069493810869
3147400,57.91066411226282
1609000,53.05694841129183
2846800,55.7702187797369
2757000,66.786464091805
2481800,62.0470705594657
2376200,61.70026658379592
2099400,57.10080124655371
2836200,59.26859467989054
2136800,63.30596757570196
1970000,64.3432567154949
2328200,59.385274244237856
2677000,54.44539000209946
2777000,48.49737602450824
3603600,32.410905111555955
2689200,36.45595067072194
2143200,44.75401518027913
2454200,36.169287786382014
2340800,26.384790655185885
2304800,33.99847902468391
3072600,29.874361274923203
3112400,25.355964326827795
4038800,19.013884381332918
2830400,21.287894656498953
3145600,25.779423173189734
2627200,23.427931212432302
2180600,38.176246854050284
2845400,42.20851218844752
3574200,56.84205982325328
2323200,58.78381286295244
2366200,51.27853077946543
2540000,55.000536590956465
2430800,57.72133640289496
2282800,53.05453865016382
2151200,62.03727449463614
2656000,74.38432620004504
2262800,71.80258243955366
2172400,72.77056760594563
3665800,74.010501000446
2388000,80.31264345145355
2258000,70.11682433279778
2827600,63.68016767791031
2445800,63.840294608427435
1946600,63.88364930993339
1869400,70.98465105211375
1934000,67.14074574347407
2623000,60.33127122931407
1959000,63.992800266180836
2136400,63.71723126992146
1791000,56.58929082045137
2703800,60.95856923652179
3054600,49.86414921236987
2297200,37.44485335008716
2894800,34.24466531334866
2681600,36.929133845659656
2429400,37.20527950207728
1410200,33.14292628369893
1815000,27.887240335716598
2271000,33.073456715810075
2822000,31.140017755154172
4893000,47.02921502066149
3297000,54.19636755357977
2985600,47.18678427870789
2535200,53.44270074993579
2178000,54.76233235511623
2171800,58.466030979964096
2720800,53.671871475408345
1946400,58.887380642230326
2502200,56.63099479188232
2901200,61.88544844844675
4140400,56.39652650113766
2605800,56.785126574473324
2440000,50.81163639075791
2833400,50.42341901710757
